Kode Posisi (Abbreviation),SAP Position ID,Position Title,Deskripsi Panjang Jabatan,Kode SATKER,Org. Unit ID,Org. Unit Title,Kode Posisi Superior,SAP Position ID (Superior),Position Superior Title,Kode SATKER Superior,Org. Unit ID Superior,OU Superior Title,
111200700N,10001969,Protocol Staff,Protocol Staff,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10001969,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
111200800N,10002240,Protocol Admin,Protocol Admin,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10002240,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
111200900N,10001405,Administration Specialist,Administration Specialist,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10001405,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
111200900N,10001406,Administration Specialist,Administration Specialist,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10001406,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
111201000N,10001970,Administration Staff,Administration Staff,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10001970,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
111201100N,10002241,Administrative/General Support Admin,Administrative/General Support Admin,1012,30000047,Public Relations & Corporate Administration Department,111200000N,10002241,Public Relations & Corporate Administration Department Head,1010,30000006,Corporate Secretary Division,
111210000N,10000140,Reporting & Engineering Documents Section Head,Reporting & Engineering Documents Section Head,1012,30000157,Reporting & Engineering Documents Section,111200000N,10000140,Public Relations & Corporate Administration Department Head,1012,30000047,Public Relations & Corporate Administration Department,
111211000N,10001407,Administration Specialist,Administration Specialist,1012,30000157,Reporting & Engineering Documents Section,111210000N,10001407,Reporting & Engineering Documents Section Head,1012,30000047,Public Relations & Corporate Administration Department,
111212000N,10001971,Administration Staff,Administration Staff,1012,30000157,Reporting & Engineering Documents Section,111210000N,10001971,Reporting & Engineering Documents Section Head,1012,30000047,Public Relations & Corporate Administration Department,
111213000N,10002242,Administrative/General Support Admin,Administrative/General Support Admin,1012,30000157,Reporting & Engineering Documents Section,111210000N,10002242,Reporting & Engineering Documents Section Head,1012,30000047,Public Relations & Corporate Administration Department,
111214000N,10002243,Administrative/General Support Entry,Administrative/General Support Entry,1012,30000157,Reporting & Engineering Documents Section,111210000N,10002243,Reporting & Engineering Documents Section Head,1012,30000047,Public Relations & Corporate Administration Department,
111300000N,10000042,Corporate Communication & Government Relation Department Head,Corporate Communication & Government Relation Department Head,1013,30000048,Corporate Communication & Government Relation Department,111000000N,10000042,Corporate Secretary Division Head,1010,30000006,Corporate Secretary Division,
111301000N,10001408,Senior Corporate Communication Specialist,Senior Corporate Communication Specialist,1013,30000048,Corporate Communication & Government Relation Department,111300000N,10001408,Corporate Communication & Government Relation Department Head,1010,30000006,Corporate Secretary Division,
111302000N,10001409,Senior Government & Media Relations Specialist,Senior Government & Media Relations Specialist,1013,30000048,Corporate Communication & Government Relation Department,111300000N,10001409,Corporate Communication & Government Relation Department Head,1010,30000006,Corporate Secretary Division,
111303000N,10001410,Government & Media Relations Specialist,Government & Media Relations Specialist,1013,30000048,Corporate Communication & Government Relation Department,111300000N,10001410,Corporate Communication & Government Relation Department Head,1010,30000006,Corporate Secretary Division,
111304000N,10001972,Government & Media Relations Staff,Government & Media Relations Staff,1013,30000048,Corporate Communication & Government Relation Department,111300000N,10001972,Corporate Communication & Government Relation Department Head,1010,30000006,Corporate Secretary Division,
111400000N,10000043,Jakarta Representative Office Department Head,Jakarta Representative Office Department Head,1014,30000049,Jakarta Representative Office Department,111000000N,10000043,Corporate Secretary Division Head,1010,30000006,Corporate Secretary Division,
111401000N,10001411,Senior IT Support Specialist,Senior IT Support Specialist,1014,30000049,Jakarta Representative Office Department,111400000N,10001411,Jakarta Representative Office Department Head,1010,30000006,Corporate Secretary Division,
111402000N,10001412,IT Support Specialist,IT Support Specialist,1014,30000049,Jakarta Representative Office Department,111400000N,10001412,Jakarta Representative Office Department Head,1010,30000006,Corporate Secretary Division,
111403000N,10002372,Senior IT Support Technician,Senior IT Support Technician,1014,30000049,Jakarta Representative Office Department,111400000N,10002372,Jakarta Representative Office Department Head,1010,30000006,Corporate Secretary Division,
111410000N,10000141,Finance Section Head,Finance Section Head,1014,30000158,Finance Section,111400000N,10000141,Jakarta Representative Office Department Head,1014,30000049,Jakarta Representative Office Department,
111411000N,10001413,Finance Specialist,Finance Specialist,1014,30000158,Finance Section,111410000N,10001413,Finance Section Head,1014,30000049,Jakarta Representative Office Department,
111412000N,10001973,Finance Staff,Finance Staff,1014,30000158,Finance Section,111410000N,10001973,Finance Section Head,1014,30000049,Jakarta Representative Office Department,
111420000N,10000142,General Services Section Head,General Services Section Head,1014,30000159,General Services Section,111400000N,10000142,Jakarta Representative Office Department Head,1014,30000049,Jakarta Representative Office Department,
111421000N,10001414,General Services Specialist,General Services Specialist,1014,30000159,General Services Section,111420000N,10001414,General Services Section Head,1014,30000049,Jakarta Representative Office Department,
111422000N,10001974,General Services Staff,General Services Staff,1014,30000159,General Services Section,111420000N,10001974,General Services Section Head,1014,30000049,Jakarta Representative Office Department,
111422000N,10001975,General Services Staff,General Services Staff,1014,30000159,General Services Section,111420000N,10001975,General Services Section Head,1014,30000049,Jakarta Representative Office Department,
111422000N,10001976,General Services Staff,General Services Staff,1014,30000159,General Services Section,111420000N,10001976,General Services Section Head,1014,30000049,Jakarta Representative Office Department,
111423000N,10001415,Protocol Specialist,Protocol Specialist,1014,30000159,General Services Section,111420000N,10001415,General Services Section Head,1014,30000049,Jakarta Representative Office Department,
111424000N,10001977,Protocol Staff,Protocol Staff,1014,30000159,General Services Section,111420000N,10001977,General Services Section Head,1014,30000049,Jakarta Representative Office Department,
111430000N,10000143,Personnel Administration Section Head,Personnel Administration Section Head,1014,30000160,Personnel Administration Section,111400000N,10000143,Jakarta Representative Office Department Head,1014,30000049,Jakarta Representative Office Department,
111431000N,10001416,Personnel Administration Specialist,Personnel Administration Specialist,1014,30000160,Personnel Administration Section,111430000N,10001416,Personnel Administration Section Head,1014,30000049,Jakarta Representative Office Department,
111432000N,10001978,Personnel Administration Staff,Personnel Administration Staff,1014,30000160,Personnel Administration Section,111430000N,10001978,Personnel Administration Section Head,1014,30000049,Jakarta Representative Office Department,
111500000N,10000044,Office Of The Board Department Head,Office Of The Board Department Head,1015,30000050,Office Of The Board Department,111000000N,10000044,Corporate Secretary Division Head,1010,30000006,Corporate Secretary Division,
111500100N,10001417,Senior Executive Assistant Specialist,Senior Executive Assistant Specialist,1015,30000050,Office Of The Board Department,111500000N,10001417,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500100N,10001418,Senior Executive Assistant Specialist,Senior Executive Assistant Specialist,1015,30000050,Office Of The Board Department,111500000N,10001418,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500100N,10001419,Senior Executive Assistant Specialist,Senior Executive Assistant Specialist,1015,30000050,Office Of The Board Department,111500000N,10001419,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500200N,10001420,Executive Assistant Specialist,Executive Assistant Specialist,1015,30000050,Office Of The Board Department,111500000N,10001420,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500300N,10001979,Executive Assistant Staff,Executive Assistant Staff,1015,30000050,Office Of The Board Department,111500000N,10001979,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500400N,10002373,Senior Secretary of BOD,Senior Secretary of BOD,1015,30000050,Office Of The Board Department,111500000N,10002373,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500500N,10001421,Secretary of BOD Specialist,Secretary of BOD Specialist,1015,30000050,Office Of The Board Department,111500000N,10001421,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500500N,10001422,Secretary of BOD Specialist,Secretary of BOD Specialist,1015,30000050,Office Of The Board Department,111500000N,10001422,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500600N,10001980,Secretary of BOD Staff,Secretary of BOD Staff,1015,30000050,Office Of The Board Department,111500000N,10001980,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500600N,10001981,Secretary of BOD Staff,Secretary of BOD Staff,1015,30000050,Office Of The Board Department,111500000N,10001981,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500600N,10001982,Secretary of BOD Staff,Secretary of BOD Staff,1015,30000050,Office Of The Board Department,111500000N,10001982,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500600N,10001983,Secretary of BOD Staff,Secretary of BOD Staff,1015,30000050,Office Of The Board Department,111500000N,10001983,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500700N,10002244,Secretary of BOD Admin,Secretary of BOD Admin,1015,30000050,Office Of The Board Department,111500000N,10002244,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500800N,10001423,Senior Office Of The Board Specialist,Senior Office Of The Board Specialist,1015,30000050,Office Of The Board Department,111500000N,10001423,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111500900N,10001424,Office Of The Board Specialist,Office Of The Board Specialist,1015,30000050,Office Of The Board Department,111500000N,10001424,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111501000N,10001984,Office Of The Board Staff,Office Of The Board Staff,1015,30000050,Office Of The Board Department,111500000N,10001984,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111501100N,10001425,Protocol Specialist,Protocol Specialist,1015,30000050,Office Of The Board Department,111500000N,10001425,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111501200N,10001985,Protocol Staff,Protocol Staff,1015,30000050,Office Of The Board Department,111500000N,10001985,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111501200N,10001986,Protocol Staff,Protocol Staff,1015,30000050,Office Of The Board Department,111500000N,10001986,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111501200N,10001987,Protocol Staff,Protocol Staff,1015,30000050,Office Of The Board Department,111500000N,10001987,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111501300N,10001426,Administration Specialist,Administration Specialist,1015,30000050,Office Of The Board Department,111500000N,10001426,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
111501400N,10001988,Administration Staff,Administration Staff,1015,30000050,Office Of The Board Department,111500000N,10001988,Office Of The Board Department Head,1010,30000006,Corporate Secretary Division,
112000000N,10000007,Internal Audit Division Head,Internal Audit Division Head,1020,30000007,Internal Audit Division,100,10000007,Direktur Utama,1000,30000000,Direktorat Utama,
112001000N,10001427,Secretary Specialist,Secretary Specialist,1020,30000007,Internal Audit Division,112000000N,10001427,Internal Audit Division Head,1000,30000000,Direktorat Utama,
112002000N,10001989,Secretary Staff,Secretary Staff,1020,30000007,Internal Audit Division,112000000N,10001989,Internal Audit Division Head,1000,30000000,Direktorat Utama,
112003000N,10001428,Lead Auditor Specialist,Lead Auditor Specialist,1020,30000007,Internal Audit Division,112000000N,10001428,Internal Audit Division Head,1000,30000000,Direktorat Utama,
112003000N,10001429,Lead Auditor Specialist,Lead Auditor Specialist,1020,30000007,Internal Audit Division,112000000N,10001429,Internal Audit Division Head,1000,30000000,Direktorat Utama,
112003000N,10001430,Lead Auditor Specialist,Lead Auditor Specialist,1020,30000007,Internal Audit Division,112000000N,10001430,Internal Audit Division Head,1000,30000000,Direktorat Utama,
112003000N,10001431,Lead Auditor Specialist,Lead Auditor Specialist,1020,30000007,Internal Audit Division,112000000N,10001431,Internal Audit Division Head,1000,30000000,Direktorat Utama,
112003000N,10001432,Lead Auditor Specialist,Lead Auditor Specialist,1020,30000007,Internal Audit Division,112000000N,10001432,Internal Audit Division Head,1000,30000000,Direktorat Utama,
112003000N,10001433,Lead Auditor Specialist,Lead Auditor Specialist,1020,30000007,Internal Audit Division,112000000N,10001433,Internal Audit Division Head,1000,30000000,Direktorat Utama,
112003000N,10001434,Lead Auditor Specialist,Lead Auditor Specialist,1020,30000007,Internal Audit Division,112000000N,10001434,Internal Audit Division Head,1000,30000000,Direktorat Utama,
112003000N,10001435,Lead Auditor Specialist,Lead Auditor Specialist,1020,30000007,Internal Audit Division,112000000N,10001435,Internal Audit Division Head,1000,30000000,Direktorat Utama,
112004000N,10001436,Senior Auditor Specialist,Senior Auditor Specialist,1020,30000007,Internal Audit Division,112000000N,10001436,Internal Audit Division Head,1000,30000000,Direktorat Utama,
1120000NCB,10003598,CUTI BESAR MJL 17 UTAMA,CUTI BESAR MJL 17 UTAMA,1020,30000007,Internal Audit Division,112000000N,10003598,Internal Audit Division Head,1000,30000000,Direktorat Utama,
11200NCB17,10003599,INTERNAL AUDIT - CUBES MJL 17           ,INTERNAL AUDIT - CUBES MJL 17           ,1020,30000007,Internal Audit Division,1120000NCB,10003599,CUTI BESAR MJL 17 UTAMA,1000,30000000,Direktorat Utama,
112100000N,10000045,Audit System Planning & Development Department Head,Audit System Planning & Development Department Head,1021,30000051,Audit System Planning & Development Department,112000000N,10000045,Internal Audit Division Head,1020,30000007,Internal Audit Division,
112101000N,10001437,Senior Audit System Planning & Development Specialist,Senior Audit System Planning & Development Specialist,1021,30000051,Audit System Planning & Development Department,112100000N,10001437,Audit System Planning & Development Department Head,1020,30000007,Internal Audit Division,
112102000N,10001438,Audit System Planning & Development Specialist,Audit System Planning & Development Specialist,1021,30000051,Audit System Planning & Development Department,112100000N,10001438,Audit System Planning & Development Department Head,1020,30000007,Internal Audit Division,
112103000N,10001990,Audit System Planning & Development Staff,Audit System Planning & Development Staff,1021,30000051,Audit System Planning & Development Department,112100000N,10001990,Audit System Planning & Development Department Head,1020,30000007,Internal Audit Division,
112103000N,10001991,Audit System Planning & Development Staff,Audit System Planning & Development Staff,1021,30000051,Audit System Planning & Development Department,112100000N,10001991,Audit System Planning & Development Department Head,1020,30000007,Internal Audit Division,
112103000N,10001992,Audit System Planning & Development Staff,Audit System Planning & Development Staff,1021,30000051,Audit System Planning & Development Department,112100000N,10001992,Audit System Planning & Development Department Head,1020,30000007,Internal Audit Division,
112104000N,10002245,Administrative/General Support Admin,Administrative/General Support Admin,1021,30000051,Audit System Planning & Development Department,112100000N,10002245,Audit System Planning & Development Department Head,1020,30000007,Internal Audit Division,
112200000N,10000046,"Operational Audit, Internal Control & Consultation Department Head","Operational Audit, Internal Control & Consultation Department Head",1022,30000052,"Operational Audit, Internal Control & Consultation Department",112000000N,10000046,Internal Audit Division Head,1020,30000007,Internal Audit Division,
112201000N,10001439,Senior Auditor Specialist,Senior Auditor Specialist,1022,30000052,"Operational Audit, Internal Control & Consultation Department",112200000N,10001439,"Operational Audit, Internal Control & Consultation Department Head",1020,30000007,Internal Audit Division,
112202000N,10001440,Auditor Specialist,Auditor Specialist,1022,30000052,"Operational Audit, Internal Control & Consultation Department",112200000N,10001440,"Operational Audit, Internal Control & Consultation Department Head",1020,30000007,Internal Audit Division,
112203000N,10001993,Audit Staff,Audit Staff,1022,30000052,"Operational Audit, Internal Control & Consultation Department",112200000N,10001993,"Operational Audit, Internal Control & Consultation Department Head",1020,30000007,Internal Audit Division,
112203000N,10001994,Audit Staff,Audit Staff,1022,30000052,"Operational Audit, Internal Control & Consultation Department",112200000N,10001994,"Operational Audit, Internal Control & Consultation Department Head",1020,30000007,Internal Audit Division,
112203000N,10001995,Audit Staff,Audit Staff,1022,30000052,"Operational Audit, Internal Control & Consultation Department",112200000N,10001995,"Operational Audit, Internal Control & Consultation Department Head",1020,30000007,Internal Audit Division,
113000000N,10000008,Corporate Management System & Performance Division Head,Corporate Management System & Performance Division Head,1030,30000008,Corporate Management System & Performance Division,100,10000008,Direktur Utama,1000,30000000,Direktorat Utama,
113001000N,10001441,Secretary Specialist,Secretary Specialist,1030,30000008,Corporate Management System & Performance Division,113000000N,10001441,Corporate Management System & Performance Division Head,1000,30000000,Direktorat Utama,
113002000N,10001996,Secretary Staff,Secretary Staff,1030,30000008,Corporate Management System & Performance Division,113000000N,10001996,Corporate Management System & Performance Division Head,1000,30000000,Direktorat Utama,
113100000N,10000047,Corporate Management System Department Head,Corporate Management System Department Head,1031,30000053,Corporate Management System Department,113000000N,10000047,Corporate Management System & Performance Division Head,1030,30000008,Corporate Management System & Performance Division,
113101000N,10001442,Senior Management Systems Specialist,Senior Management Systems Specialist,1031,30000053,Corporate Management System Department,113100000N,10001442,Corporate Management System Department Head,1030,30000008,Corporate Management System & Performance Division,
113101000N,10001443,Senior Management Systems Specialist,Senior Management Systems Specialist,1031,30000053,Corporate Management System Department,113100000N,10001443,Corporate Management System Department Head,1030,30000008,Corporate Management System & Performance Division,
113102000N,10001444,Management Systems Specialist,Management Systems Specialist,1031,30000053,Corporate Management System Department,113100000N,10001444,Corporate Management System Department Head,1030,30000008,Corporate Management System & Performance Division,
113103000N,10001997,Management Systems Staff,Management Systems Staff,1031,30000053,Corporate Management System Department,113100000N,10001997,Corporate Management System Department Head,1030,30000008,Corporate Management System & Performance Division,
113200000N,10000048,Corporate Performance Department Head,Corporate Performance Department Head,1032,30000054,Corporate Performance Department,113000000N,10000048,Corporate Management System & Performance Division Head,1030,30000008,Corporate Management System & Performance Division,
113201000N,10001445,Senior Corporate Performance Specialist,Senior Corporate Performance Specialist,1032,30000054,Corporate Performance Department,113200000N,10001445,Corporate Performance Department Head,1030,30000008,Corporate Management System & Performance Division,
113201000N,10001446,Senior Corporate Performance Specialist,Senior Corporate Performance Specialist,1032,30000054,Corporate Performance Department,113200000N,10001446,Corporate Performance Department Head,1030,30000008,Corporate Management System & Performance Division,
113202000N,10001447,Corporate Performance Specialist,Corporate Performance Specialist,1032,30000054,Corporate Performance Department,113200000N,10001447,Corporate Performance Department Head,1030,30000008,Corporate Management System & Performance Division,
113203000N,10001998,Corporate Performance Staff,Corporate Performance Staff,1032,30000054,Corporate Performance Department,113200000N,10001998,Corporate Performance Department Head,1030,30000008,Corporate Management System & Performance Division,
201,10000001,Direktur Hilirisasi dan Diversifikasi Produk,Direktur Hilirisasi dan Diversifikasi Produk,2000,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,TOP,10000001,,#N/A,,#N/A,
120010000N,10002374,Business Expert,Business Expert,2000,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,201,10002374,Direktur Hilirisasi dan Diversifikasi Produk,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
120020000N,10001448,Lead Business Analysis Specialist,Lead Business Analysis Specialist,2000,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,201,10001448,Direktur Hilirisasi dan Diversifikasi Produk,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
120030000N,10001449,Senior Business Analysis Specialist,Senior Business Analysis Specialist,2000,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,201,10001449,Direktur Hilirisasi dan Diversifikasi Produk,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
120040000M,10003458,Senior Business Analyst,Senior Business Analyst,2000,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,201,10003458,Direktur Hilirisasi dan Diversifikasi Produk,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
BAMO10000H,10003462,Dir Utama PT Bukit Asam Metana Ombilin,Dir Utama PT Bukit Asam Metana Ombilin,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,201,10003462,Direktur Hilirisasi dan Diversifikasi Produk,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
BEI110000K,10003467,DIREKTUR PT BEI                         ,DIREKTUR PT BEI                         ,5BEI,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,BEI100000K,10003467,DIREKTUR UTAMA PT BEI                   ,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
HBAP10000K,10003500,DIREKTUR UTAMA PT HBAP                        ,DIREKTUR UTAMA PT HBAP                        ,2HBP,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,201,10003500,Direktur Hilirisasi dan Diversifikasi Produk,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
HBAP11000K,10003501,DIREKTUR PT HBAP                        ,DIREKTUR PT HBAP                        ,2HBP,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,HBAP10000K,10003501,DIREKTUR UTAMA PT HBAP                        ,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
HBAP12110M,10003502,BUDGET & ACCOUNTING MANAGER             ,BUDGET & ACCOUNTING MANAGER             ,2HBP,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,HBAP10000K,10003502,DIREKTUR UTAMA PT HBAP                        ,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
HBAP14132M,10003503,SENIOR MECHANICAL ENGINEER              ,SENIOR MECHANICAL ENGINEER              ,2HBP,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,HBAP10000K,10003503,DIREKTUR UTAMA PT HBAP                        ,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
HBAP14133M,10003504,SENIOR I&C ENGINEER                     ,SENIOR I&C ENGINEER                     ,2HBP,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,HBAP10000K,10003504,DIREKTUR UTAMA PT HBAP                        ,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
HBAP14141M,10003505,SENIOR PRIMARY ENERGY & FUEL ENGINEER   ,SENIOR PRIMARY ENERGY & FUEL ENGINEER   ,2HBP,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,HBAP10000K,10003505,DIREKTUR UTAMA PT HBAP                        ,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
HBAP16301M,10003509,HRGA OFFICER                            ,HRGA OFFICER                            ,2HBP,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,HBAP10000K,10003509,DIREKTUR UTAMA PT HBAP                        ,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
HBAP16310M,10003510,HR MANAGER                              ,HR MANAGER                              ,2HBP,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,HBAP11000K,10003510,DIREKTUR PT HBAP                        ,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
HBAP15000M,10003506,"COMMERCE,PROCUREMENT & ASSET MGMT SR MGR","COMMERCE,PROCUREMENT & ASSET MGMT SR MGR",2HBP,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,HBAP11000K,10003506,DIREKTUR PT HBAP                        ,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
HBAP15100M,10003507,ASSET MANAGEMENT MANAGER                ,ASSET MANAGEMENT MANAGER                ,2HBP,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,HBAP15000M,10003507,"COMMERCE,PROCUREMENT & ASSET MGMT SR MGR",-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
HBAP15200M,10003508,PROCUREMENT MANAGER                     ,PROCUREMENT MANAGER                     ,2HBP,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,HBAP15000M,10003508,"COMMERCE,PROCUREMENT & ASSET MGMT SR MGR",-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
121000000N,10000009,Project Management Office Division Head,Project Management Office Division Head,2100,30000009,Project Management Office Division,201,10000009,Direktur Hilirisasi dan Diversifikasi Produk,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
121001000N,10001450,Secretary Specialist,Secretary Specialist,2100,30000009,Project Management Office Division,121000000N,10001450,Project Management Office Division Head,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
121002000N,10001999,Secretary Staff,Secretary Staff,2100,30000009,Project Management Office Division,121000000N,10001999,Project Management Office Division Head,-,30000001,Direktorat Hilirisasi dan Diversifikasi Produk,
